filing_status,income_min,income_max,rate,subtraction_amount
single,100000,182100,0.24,6600.0
single,182100,231250,0.32,21168.0
single,231250,578125,0.35,28105.5
single,578125,,0.37,39668.0
married_filing_jointly,100000,190750,0.22,9385.0
married_filing_jointly,190750,364200,0.24,13200.0
married_filing_jointly,364200,462500,0.32,42336.0
married_filing_jointly,462500,693750,0.35,56211.0
married_filing_jointly,693750,,0.37,70086.0
married_filing_separately,100000,182100,0.24,6600.0
married_filing_separately,182100,231250,0.32,21168.0
married_filing_separately,231250,346875,0.35,28105.5
married_filing_separately,346875,,0.37,35043.0
head_of_household,100000,182100,0.24,8206.0
head_of_household,182100,231250,0.32,22774.0
head_of_household,231250,578100,0.35,29711.5
head_of_household,578100,,0.37,41273.5
