filing_status,income_min,income_max,rate,subtraction_amount
single,100000,103350,0.22,5086.0
single,103350,197300,0.24,7153.0
single,197300,250525,0.32,22937.0
single,250525,626350,0.35,30452.75
single,626350,,0.37,42979.75
married_filing_jointly,100000,206700,0.22,10172.0
married_filing_jointly,206700,394600,0.24,14306.0
married_filing_jointly,394600,501050,0.32,45874.0
married_filing_jointly,501050,751600,0.35,60905.5
married_filing_jointly,751600,,0.37,75937.5
married_filing_separately,100000,103350,0.22,5086.0
married_filing_separately,103350,197300,0.24,7153.0
married_filing_separately,197300,250525,0.32,22937.0
married_filing_separately,250525,375800,0.35,30452.75
married_filing_separately,375800,,0.37,37968.75
head_of_household,100000,103350,0.22,6825.0
head_of_household,103350,197300,0.24,8892.0
head_of_household,197300,250500,0.32,24676.0
head_of_household,250500,626350,0.35,32191.0
head_of_household,626350,,0.37,44718.0
